"filename", "language", "Dart", "Markdown", "YAML", "Groovy", "XML", "Properties", "JSON", "Java", "HTML", "C++", "Swift", "Ini", "comment", "blank", "total"
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\backend\check_connection.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 24
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\backend\scanningApi.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\common\loading_screen.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\common\navigation.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\common\theme.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 31
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\king_card_widget.dart", "Dart", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 125
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\main.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 51
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\home\app_bar.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 33
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\home\cameraBuilder.dart", "Dart", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 112
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\home\drawer.dart", "Dart", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 125
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\home\home_route.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 8, 51
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\home\language_dialog.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\home\language_tile.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\offline\king_card_widget.dart", "Dart", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 134
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\AR_screen.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\home_screen.dart", "Dart", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 12, 118
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\king_screen.dart", "Dart", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 126
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\offline_screen.dart", "Dart", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 80
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\recognized_screen.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 108
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\scanning_screen.dart", "Dart", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 89
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\splash_screen.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 15, 81
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\unrecognized_screen.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 108
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\pubspec.yaml", "YAML", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 15, 129
"Total", "-", 1297, 13, 67, 122, 703, 9, 154, 89, 4782, 1, 12, 13255, 655, 4596, 25755
